"Date","Time","Open","High","Low","Close","Total Ticks"
03/11/2009,00.00.00,6900,6900,6899,6899,7
03/11/2009,00.01.00,6899,6904,6899,6901,14
03/11/2009,00.02.00,6901,6902,6901,6901,2
03/11/2009,00.04.00,6901,6901,6899,6899,2
03/11/2009,00.05.00,6899,6899,6898,6898,3
03/11/2009,00.06.00,6898,6898,6896,6896,4
03/11/2009,00.08.00,6896,6898,6896,6896,8
03/11/2009,00.09.00,6896,6899,6895,6899,5
